,p1,p2,p3,p4,p5
1993-03,-0.03352576022516857,-0.07830754726876085,-0.13460625579731356,-0.19848752475895276,-0.2625082748364865
1993-04,-0.032874493074082,-0.07551049368894096,-0.13045042938406523,-0.19362115750243436,-0.25774793612614294
1993-05,-0.03660174564456075,-0.08394698612592082,-0.14034311122106144,-0.2032183825069398,-0.2701303425385465
1993-06,-0.034995252997262735,-0.07964945167548036,-0.13178434816721848,-0.1899989527219077,-0.2527397292542169
1993-07,-0.03485027743574637,-0.08212153360232169,-0.13611759109758248,-0.19349980122452534,-0.2602874225973407
1993-08,-0.033536101219455335,-0.07665428818962458,-0.12673170583914128,-0.17958131468908142,-0.23988287531850783
1993-09,-0.033732600431505146,-0.07684864745253511,-0.12610758880261552,-0.18194162897566918,-0.23898080112208928
1993-10,-0.03475708995800506,-0.0789458094863752,-0.12925483585726236,-0.18416325167332565,-0.24084937843314203
1993-11,-0.03632171929951195,-0.08341421816637835,-0.13596864602939382,-0.1960878792907839,-0.257346872655708
1993-12,-0.03625950187031611,-0.0838164860931106,-0.13405724514644266,-0.19781699336820088,-0.26061180092911757
1994-01,-0.03517132301144082,-0.08153548798251854,-0.1331543208678709,-0.18972086427589957,-0.25060468021166593
1994-02,-0.040624097436508015,-0.09280631708647459,-0.1507647518897372,-0.2138741453070611,-0.27934360100240896
1994-03,-0.04476726688253982,-0.1031629321143392,-0.17000570915135765,-0.23936185996218456,-0.31028220913097304
1994-04,-0.04984171685721584,-0.1137399698729063,-0.18363441821949716,-0.2571657999286461,-0.3296853199322387
1994-05,-0.05296838077224474,-0.11865966978782781,-0.18951537033422558,-0.26201432570320304,-0.3357105267958135
1994-06,-0.05426612994018255,-0.12146731428354578,-0.19180235789347155,-0.26954095541858447,-0.34601764946474434
1994-07,-0.05333748759067437,-0.1185358189266246,-0.1869924484438531,-0.2601317583647753,-0.33380978409556733
1994-08,-0.05465683950539348,-0.12163670149747464,-0.19068846192756006,-0.26332772844989166,-0.33767095479685316
1994-09,-0.058635975484957206,-0.1300289618735403,-0.20392933239040545,-0.281779526799167,-0.3608407517368453
1994-10,-0.060429640826463606,-0.13477788345724842,-0.2106963402624545,-0.2896840751224541,-0.37000626963325606
1994-11,-0.06836449752665619,-0.14516450999762112,-0.22518312984114705,-0.30473328835416424,-0.3835910981952144
1994-12,-0.07122750928836775,-0.1503346368563985,-0.23054588108097188,-0.30823858384718095,-0.3838112542133345
1995-01,-0.06743337385004836,-0.14262403425541426,-0.2193009435967594,-0.2952573592895179,-0.37091876435558085
1995-02,-0.06356832526316315,-0.1334171134403515,-0.2041991353132719,-0.27584573245360855,-0.348069222466876
1995-03,-0.06332325986676865,-0.13353139262452263,-0.2048125946294862,-0.27688721382415626,-0.3487776384783672
