,r2,r3,r4,r5
1988-12,0.0638575962915518,0.0578776626430597,0.0550288875530319,0.0554985869065384
1989-01,0.0545081199089925,0.0436465769803855,0.0378366746381872,0.0292627568411913
1989-02,0.0465367480634901,0.0309154787157422,0.0190273821170815,0.0067574207013103
1989-03,0.0494117043262624,0.0363470508412327,0.0275956666917567,0.0249139178160583
1989-04,0.0616409976067972,0.0546598952639368,0.0541517476892041,0.0535104044661131
1989-05,0.0734095871406131,0.0760724943312523,0.0824781547124276,0.0888209701199
1989-06,0.0761260234117686,0.0829612338728068,0.0899577850139989,0.1012345378207699
1989-07,0.0897143255545667,0.1047016252465819,0.1172437814553034,0.1325066871376606
1989-08,0.0894633892818251,0.0937176914879983,0.1044362125995368,0.1128035656389091
1989-09,0.0820853945432945,0.0849634109970353,0.0873601864621185,0.0941346297167705
1989-10,0.0840550613809554,0.0895021308146333,0.0940181019283024,0.0998436293946176
1989-11,0.0961440586636979,0.1075724864360324,0.1202698082588238,0.1291578008643095
1989-12,0.1009652413750654,0.1147062379642754,0.125819820115419,0.1383117979941825
1990-01,0.0973558083273547,0.1039661976684808,0.1102335249699708,0.112863095858472
1990-02,0.10572667396275,0.1127166518042913,0.1223716800093806,0.1235595411616299
1990-03,0.1071732075298863,0.1141040601992815,0.1171821148726112,0.1226390453045893
1990-04,0.0966648767931994,0.0959955338164847,0.0939264860599446,0.0890341425533665
1990-05,0.0908839812129756,0.0921715181528993,0.0927968984456627,0.0888404889637062
1990-06,0.0784230157638783,0.0762271327026608,0.0698808547055622,0.06790038674973
1990-07,0.070525665941135,0.0688210827066713,0.0616276249724653,0.053861885360235
1990-08,0.0885132369275596,0.0875151641912026,0.0832534756003282,0.0734791661668575
1990-09,0.089823306840581,0.0914408078945342,0.088798501134928,0.0807332525176257
1990-10,0.0789614028776053,0.0811366950751131,0.0767826345490659,0.0668905929828125
1990-11,0.0783899413329983,0.0816829626142088,0.0808040324152959,0.0737775065246473
1990-12,0.0859442158482996,0.0930426690497496,0.0928213431415774,0.0896475500294299
1991-01,0.0958679978739276,0.1066090174265863,0.1137458884694124,0.1148180983801315
1991-02,0.0998386121238906,0.1101418494749044,0.1195000858238261,0.1207295593494941
1991-03,0.1056330581850344,0.1166822061867002,0.1243214827130249,0.1246861450202184
1991-04,0.1132091014501705,0.1315917176826435,0.144133901583787,0.1472585304527621
1991-05,0.1035161016342273,0.1155082160036019,0.1269200251098957,0.1261615887508466
1991-06,0.097676726616335,0.1069773020002526,0.1098039688861481,0.1061573664008644
1991-07,0.0931892747135096,0.1020546394913901,0.1047433381735979,0.1011426800891368
1991-08,0.1013666062459499,0.1172583744407753,0.1332662313281443,0.1387852835129578
1991-09,0.1039227817564784,0.1232845109900993,0.1412112162378954,0.1508344544074297
1991-10,0.1005091369467636,0.1218939606019514,0.1388167853943576,0.1472855656281379
1991-11,0.0993403679949298,0.11930394849709,0.1363918064741522,0.1388375426050891
1991-12,0.099442665355992,0.1246846693124016,0.1434854611038123,0.1511890446532783
1992-01,0.0949322425645519,0.1141378621598289,0.125006286919005,0.1263117517092405
1992-02,0.093994513793661,0.1100804460517464,0.1233751716976009,0.1234628423700443
1992-03,0.0939476862516621,0.1063669457120255,0.1148972653687397,0.1173379162523018
1992-04,0.0899390184503324,0.1040618864565286,0.1146440770176723,0.1130879701630346
1992-05,0.0923302349057401,0.1077965704557075,0.1238085214499628,0.1283525955421293
1992-06,0.0969852264369459,0.1234679737790613,0.1441178334387836,0.1539050232877472
1992-07,0.0980945651860484,0.1259759136115247,0.1507096798575359,0.1630665655797285
1992-08,0.0920151579431381,0.1177396107326418,0.1418202039435175,0.1516527807196809
1992-09,0.0876126607156304,0.1141956723398908,0.1369883631950572,0.144309789989812
1992-10,0.0761242225643857,0.0930461552424722,0.1087157342604203,0.1089682387496109
1992-11,0.0681768058653355,0.0792843950475607,0.091670860373546,0.0910219569599921
1992-12,0.0582199542841181,0.0654279999900997,0.0753558406156126,0.0687812828861255
1993-01,0.0662827126463864,0.088168403629856,0.1063987807576514,0.1117459217657965
1993-02,0.0715837993699994,0.0962213672354115,0.1221425978492717,0.1347477151940198
1993-03,0.0777410522034182,0.1090225312563161,0.1350132645028092,0.1474453226478775
