Date,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15
1983-03,0,-0.08955082608695653,-0.18916382608695653,-0.2944245652173913,-0.4024107826086956,-0.5113215217391305,-0.6201782608695653,-0.7286029130434781,-0.8366253913043478,-0.9445593913043477,-1.052888260869565,-1.1621911304347827,-1.2730852173913045,-1.3861809565217393,-1.5020569565217392,-1.6212345652173916
1983-04,0,-0.0893256,-0.18780719999999998,-0.29172465,-0.39849239999999997,-0.5064065,-0.6144350999999999,-0.7220545500000001,-0.8291136,-0.9357286499999999,-1.0421980000000002,-1.1489401000000001,-1.2564408,-1.3652119,-1.4757687,-1.5886087500000001
1983-05,0,-0.08783223809523809,-0.18537142857142858,-0.2888661428571429,-0.3956542857142857,-0.503922619047619,-0.6125225714285715,-0.7208060000000001,-0.8285074285714287,-0.9356374285714285,-1.0424019047619046,-1.1491432857142856,-1.2562822857142857,-1.3642887142857143,-1.4736440000000002,-1.5848257142857143
1983-06,0,-0.0948385,-0.19860263636363637,-0.30730895454545454,-0.4182856363636363,-0.5298586363636364,-0.6411016363636363,-0.7516265909090909,-0.8614370909090908,-0.9708050454545454,-1.0801690909090909,-1.1900674999999998,-1.3010858181818183,-1.413813818181818,-1.5288184545454544,-1.6466311363636363
1983-07,0,-0.09934155,-0.2091297,-0.32320724999999995,-0.438802,-0.554735,-0.6705693,-0.78619975,-0.9016764,-1.0171044,-1.1326155,-1.2483388499999999,-1.3643952000000001,-1.4808949999999999,-1.5979362000000001,-1.7155972499999999
1983-08,0,-0.10287,-0.21608373913043477,-0.33318404347826086,-0.45185843478260873,-0.5711552173913044,-0.6906949565217391,-0.8103382608695653,-0.9300330434782609,-1.0497584347826086,-1.1695034782608695,-1.2892621739130434,-1.4090321739130436,-1.5288084782608695,-1.6485882608695652,-1.7683721739130436
1983-09,0,-0.0993152380952381,-0.21026038095238098,-0.32642857142857146,-0.44464,-0.5633735714285714,-0.6819842857142857,-0.800265,-0.9181992380952382,-1.0358421428571427,-1.1532642857142856,-1.2705288095238094,-1.3876862857142855,-1.5047716666666666,-1.621812,-1.7388214285714285
1983-10,0,-0.09624125,-0.2053827,-0.32041200000000003,-0.4378646,-0.5561172499999999,-0.6744690000000001,-0.7926589999999999,-0.9106264000000001,-1.02838725,-1.1459875,-1.2634666,-1.3808592000000002,-1.49819735,-1.6154964,-1.73277075
1983-11,0,-0.09679542105263157,-0.20670915789473684,-0.32312163157894735,-0.4421111578947369,-0.5617263157894737,-0.6811487368421053,-0.8001316842105263,-0.9186736842105263,-1.036855894736842,-1.1547747368421053,-1.2725112631578948,-1.3901261052631577,-1.5076613157894736,-1.6251494736842107,-1.7426028947368422
1983-12,0,-0.09935742857142857,-0.21045885714285714,-0.327802,-0.447648,-0.5680816666666667,-0.6883237142857143,-0.8081566666666666,-0.9275988571428572,-1.0467394285714287,-1.1656680952380953,-1.2844595238095238,-1.4031617142857142,-1.5218109523809524,-1.6404293333333333,-1.7590285714285716
1984-01,0,-0.09789595238095238,-0.20743447619047617,-0.3231491428571428,-0.44151180952380953,-0.560607380952381,-0.6795522857142857,-0.7980326666666667,-0.9160064761904763,-1.0335458571428573,-1.1507509523809525,-1.2677128095238095,-1.3845074285714285,-1.501189238095238,-1.6177993333333334,-1.7343628571428573
1984-02,0,-0.09870121052631578,-0.20921547368421056,-0.3263955789473684,-0.44614800000000004,-0.5664468421052631,-0.6865181052631579,-0.806169,-0.9254261052631579,-1.0443817894736842,-1.1631215789473683,-1.2817165263157897,-1.400218105263158,-1.5186606842105266,-1.6370627368421051,-1.7554436842105265
1984-03,0,-0.1040155909090909,-0.21902172727272728,-0.34043522727272724,-0.4649905454545455,-0.5906370454545453,-0.7162197272727273,-0.8411740909090907,-0.9652887272727274,-1.0885532727272726,-1.211042727272727,-1.3328775,-1.4541769090909091,-1.5750510454545457,-1.6955947272727272,-1.815884318181818
