qdate     price1     price2     price3     price4     price5
910228     93.710     87.120     80.658     74.222     68.489
910328     93.780     86.932     80.442     73.917     67.912
910430     93.987     87.485     80.907     74.345     68.554
910531     93.951     87.380     80.934     74.219     68.315
910628     93.834     87.143     80.296     73.513     67.466
910731     94.011     87.477     80.809     74.026     68.001
910830     94.483     88.129     81.880     75.271     69.402
910930     94.757     88.811     82.722     76.416     70.928
911031     94.977     89.397     83.333     77.034     71.495
911129     95.299     89.817     84.024     77.528     71.915
911231     95.903     90.962     85.616     79.343     74.366
920131     95.765     90.400     84.147     77.878     72.512
920228     95.706     90.044     83.968     77.489     71.689
920331     95.495     89.470     82.917     76.367     70.756
920430     95.718     89.780     83.376     76.762     70.748
920529     95.832     90.146     84.001     77.671     71.563
920630     96.018     90.848     84.909     78.691     72.937
920731     96.493     91.658     86.067     80.045     74.652
920831     96.623     92.111     86.740     80.767     75.492
920930     96.943     92.729     87.635     81.939     76.497
921030     96.468     91.459     85.881     79.726     73.994
921130     96.154     90.957     84.971     78.768     73.196
921231     96.415     91.405     85.553     79.661     73.881
930129     96.595     91.903     86.621     81.085     75.303
930226     96.726     92.449     87.556     82.030     76.662
930331     96.703     92.468     87.406     81.997     76.912
930430     96.766     92.727     87.770     82.397     77.279
930528     96.406     91.948     86.906     81.610     76.328
930630     96.561     92.344     87.653     82.696     77.667
930730     96.575     92.116     87.274     82.407     77.083
930831     96.702     92.621     88.097     83.562     78.672
930930     96.683     92.603     88.152     83.365     78.743
931029     96.584     92.409     87.875     83.180     78.596
931130     96.433     91.997     87.287     82.194     77.310
931231     96.439     91.960     87.454     82.052     77.058
940131     96.544     92.170     87.533     82.719     77.833
940228     96.019     91.137     86.005     80.745     75.628
940331     95.622     90.198     84.366     78.713     73.324
940429     95.138     89.249     83.224     77.324     71.915
940531     94.841     88.811     82.736     76.950     71.483
940630     94.718     88.562     82.547     76.373     70.750
940729     94.806     88.822     82.945     77.095     71.619
940831     94.681     88.547     82.639     76.849     71.343
940930     94.305     87.807     81.552     75.444     69.709
941031     94.136     87.391     81.002     74.850     69.073
941130     93.392     86.488     79.837     73.732     68.141
941230     93.125     86.042     79.410     73.474     68.126
950131     93.479     86.708     80.308     74.434     69.010
950228     93.841     87.510     81.530     75.893     70.605
950331     93.864     87.500     81.480     75.814     70.555
950428     93.940     87.835     81.947     76.357     71.281
950531     94.448     89.090     83.855     78.831     74.089
950630     94.614     89.205     84.012     78.964     74.466
950731     94.564     89.058     83.602     78.417     73.793
950831     94.534     89.149     83.851     78.733     74.136
950929     94.479     89.167     83.932     78.892     74.406
951031     94.621     89.520     84.421     79.524     75.100
951130     94.818     90.003     85.137     80.387     76.123
951229     95.002     90.300     85.565     80.895     76.691
960131     95.216     90.726     86.044     81.413     77.137
960229     94.990     89.850     84.835     79.838     75.328
960329     94.698     89.220     83.873     78.593     73.911
960430     94.618     88.805     83.211     77.802     72.910
960531     94.498     88.451     82.664     77.073     72.034
960628     94.484     88.651     82.905     77.580     72.686
960731     94.301     88.492     82.746     77.309     72.281
960830     94.357     88.279     82.365     76.821     71.760
960930     94.493     88.685     83.007     77.612     72.695
961031     94.707     89.307     83.982     78.764     74.059
961129     94.788     89.565     84.420     79.569     74.985
961231     94.690     89.073     83.594     78.435     73.557
970131     94.675     89.020     83.528     78.395     73.412
970228     94.582     88.713     83.122     77.871     72.915
970331     94.260     88.107     82.212     76.692     71.664
970430     94.360     88.358     82.677     77.268     72.286
970530     94.393     88.517     82.861     77.447     72.561
970630     94.546     88.716     83.209     77.806     72.973
970731     94.647     89.323     84.213     79.322     74.711
970829     94.442     88.903     83.443     78.268     73.595
970930     94.589     89.211     84.016     78.947     74.416
971031     94.853     89.510     84.457     79.715     75.456
971128     94.668     89.190     84.090     79.231     74.993
971231     94.733     89.451     84.485     79.767     75.459
980130     94.981     90.006     85.320     80.683     76.676
980227     94.823     89.627     84.804     80.068     75.919
980331     94.824     89.571     84.613     79.969     75.792
980430     94.810     89.588     84.642     79.937     75.724
980529     94.805     89.622     84.718     80.024     76.033
980630     94.803     89.751     84.846     80.328     76.398
980731     94.738     89.723     84.886     80.273     76.084
980831     95.099     90.813     86.322     82.199     78.443
980930     95.534     91.807     87.783     84.170     80.469
981030     95.725     91.994     87.856     83.993     79.916
981130     95.474     91.433     87.295     83.065     79.624
981231     95.659     91.372     87.103     82.999     79.491
990129     95.619     91.312     87.144     83.177     79.739
990226     95.227     90.300     85.477     80.921     77.067
990331     95.429     90.602     85.917     81.377     77.210
990430     95.409     90.458     85.710     81.183     76.836
990528     95.128     89.819     84.703     79.876     75.415
990630     94.940     89.668     84.638     79.811     74.966
990730     94.825     89.462     84.328     79.207     74.360
990831     94.680     89.313     84.073     78.915     74.188
990930     94.769     89.515     84.397     79.271     74.520
991029     94.587     89.154     83.956     78.654     73.906
991130     94.385     88.813     83.565     78.403     73.545
991231     94.293     88.423     82.970     77.723     72.640
000131     94.005     87.792     82.130     76.962     71.666
000229     94.085     87.922     82.281     77.168     72.009
000331     93.911     88.055     82.692     77.839     73.155
000428     93.722     87.673     82.290     77.126     72.401
000531     93.927     87.646     82.219     77.074     72.427
000630     93.823     88.230     83.031     78.006     73.503
000731     93.836     88.338     82.968     78.121     73.617
000831     94.057     88.558     83.506     78.791     74.339
000929     94.012     88.893     83.848     79.219     74.830
001031     93.984     89.012     83.977     79.412     75.184
001130     94.336     89.506     84.728     80.303     76.381
001229     94.688     90.380     85.826     81.692     77.911
010131     95.455     91.276     86.842     82.487     78.483
010228     95.681     91.607     87.220     83.018     79.063
010330     95.953     91.966     87.609     83.382     79.364
010430     96.047     91.805     86.999     82.447     78.149
010531     96.281     91.924     87.082     82.314     77.974
010629     96.207     91.877     86.928     82.122     77.605
010731     96.604     92.734     88.108     83.556     79.174
010831     96.735     93.050     88.537     84.118     79.865
010928     97.503     94.500     90.219     86.003     81.639
011031     98.063     95.374     91.511     87.416     83.217
011130     97.976     94.489     89.990     85.511     81.456
011231     97.969     94.057     89.188     84.443     80.105
020131     97.749     93.906     89.196     84.384     79.778
020228     97.829     94.113     89.698     84.947     80.423
020328     97.325     92.871     87.792     82.737     77.843
020430     97.776     93.762     89.073     84.228     79.521
020531     97.763     93.847     89.399     84.800     80.198
020628     98.067     94.381     90.118     85.662     81.254
020731     98.292     95.654     91.807     87.660     83.380
020830     98.273     95.861     92.631     88.723     84.847
020930     98.580     96.690     94.076     90.868     87.514
